Hand,E
8C 9C QC,15.3125
8C 9C QD,15.3125
8C 9C QH,15.3125
8C 9C QS,15.3125
8C 9C KC,15.3125
8C 9C KD,15.3125
8C 9C KH,15.3125
8C 9C KS,15.3125
8C 9D 9H,15.5167
8C 9D 9S,15.5167
8C 9D TD,15.3125
8C 9H 9S,15.5167
8C 9H TH,15.3125
8C 9S TS,15.3125
8C TC JC,15.0341
8C TD TH,15.5167
8C TD TS,15.5167
8C TD JD,15.1991
8C TH TS,15.5167
8C TH JH,15.1991
8C TS JS,15.1991
8C JC JD,15.5167
8C JC JH,15.5167
8C JC JS,15.5167
8C JC QC,15.3125
8C JD JH,15.5167
8C JD JS,15.5167
8C JD QD,15.3125
8C JH JS,15.5167
8C JH QH,15.3125
8C JS QS,15.3125
8D 8H 9C,15.5167
8D 8H 9S,15.5167
8D 8H TC,15.5167
8D 8H TS,15.5167
8D 8H JC,15.5167
8D 8H JD,15.5167
8D 8H JH,15.5167
8D 8H JS,15.5167
8D 8H QC,15.5167
8D 8H QD,15.5167
8D 8H QH,15.5167
8D 8H QS,15.5167
8D 8H KC,15.5167
8D 8H KD,15.5167
8D 8H KH,15.5167
8D 8H KS,15.5167
8D 8S 9C,15.5167
8D 8S 9H,15.5167
8D 8S TC,15.5167
8D 8S TH,15.5167
8D 8S JC,15.5167
8D 8S JD,15.5167
8D 8S JH,15.5167
8D 8S JS,15.5167
8D 8S QC,15.5167
8D 8S QD,15.5167
8D 8S QH,15.5167
8D 8S QS,15.5167
8D 8S KC,15.5167
8D 8S KD,15.5167
8D 8S KH,15.5167
8D 8S KS,15.5167
8D 9C 9H,15.5167
8D 9C 9S,15.5167
8D 9C TC,15.3125
8D 9D TC,15.3125
8D 9D TH,15.3125
8D 9D TS,15.3125
8D 9D JC,15.1991
8D 9D JD,15.0341
8D 9D JH,15.1991
8D 9D JS,15.1991
8D 9D QC,15.3125
8D 9D QD,15.3125
8D 9D QH,15.3125
8D 9D QS,15.3125
8D 9D KC,15.3125
8D 9D KD,15.3125
8D 9D KH,15.3125
8D 9D KS,15.3125
8D 9H 9S,15.5167
8D 9H TH,15.3125
8D 9S TS,15.3125
8D TC TH,15.5167
8D TC TS,15.5167
8D TC JC,15.1991
8D TD JD,15.0341
8D TH TS,15.5167
8D TH JH,15.1991
8D TS JS,15.1991
8D JC JD,15.5167
8D JC JH,15.5167
8D JC JS,15.5167
8D JC QC,15.3125
8D JD JH,15.5167
8D JD JS,15.5167
8D JD QD,15.3125
8D JH JS,15.5167
8D JH QH,15.3125
8D JS QS,15.3125
8H 8S 9C,15.5167
8H 8S 9D,15.5167
8H 8S TC,15.5167
8H 8S TD,15.5167
8H 8S JC,15.5167
8H 8S JD,15.5167
8H 8S JH,15.5167
8H 8S JS,15.5167
8H 8S QC,15.5167
8H 8S QD,15.5167
8H 8S QH,15.5167
8H 8S QS,15.5167
8H 8S KC,15.5167
8H 8S KD,15.5167
8H 8S KH,15.5167
8H 8S KS,15.5167
8H 9C 9D,15.5167
8H 9C 9S,15.5167
8H 9C TC,15.3125
8H 9D 9S,15.5167
8H 9D TD,15.3125
8H 9H TC,15.3125
8H 9H TD,15.3125
8H 9H TS,15.3125
8H 9H JC,15.1991
8H 9H JD,15.1991
8H 9H JH,15.0341
8H 9H JS,15.1991
8H 9H QC,15.3125
8H 9H QD,15.3125
8H 9H QH,15.3125
8H 9H QS,15.3125
8H 9H KC,15.3125
8H 9H KD,15.3125
8H 9H KH,15.3125
8H 9H KS,15.3125
8H 9S TS,15.3125
8H TC TD,15.5167
8H TC TS,15.5167
8H TC JC,15.1991
8H TD TS,15.5167
8H TD JD,15.1991
8H TH JH,15.0341
8H TS JS,15.1991
8H JC JD,15.5167
8H JC JH,15.5167
8H JC JS,15.5167
8H JC QC,15.3125
8H JD JH,15.5167
8H JD JS,15.5167
8H JD QD,15.3125
8H JH JS,15.5167
8H JH QH,15.3125
8H JS QS,15.3125
8S 9C 9D,15.5167
8S 9C 9H,15.5167
8S 9C TC,15.3125
8S 9D 9H,15.5167
8S 9D TD,15.3125
8S 9H TH,15.3125
8S 9S TC,15.3125
8S 9S TD,15.3125
8S 9S TH,15.3125
8S 9S JC,15.1991
8S 9S JD,15.1991
8S 9S JH,15.1991
8S 9S JS,15.0341
8S 9S QC,15.3125
8S 9S QD,15.3125
8S 9S QH,15.3125
8S 9S QS,15.3125
8S 9S KC,15.3125
8S 9S KD,15.3125
8S 9S KH,15.3125
8S 9S KS,15.3125
8S TC TD,15.5167
8S TC TH,15.5167
8S TC JC,15.1991
8S TD TH,15.5167
8S TD JD,15.1991
8S TH JH,15.1991
8S TS JS,15.0341
8S JC JD,15.5167
8S JC JH,15.5167
8S JC JS,15.5167
8S JC QC,15.3125
8S JD JH,15.5167
8S JD JS,15.5167
8S JD QD,15.3125
8S JH JS,15.5167
8S JH QH,15.3125
8S JS QS,15.3125
9C 9D TH,15.5167
9C 9D TS,15.5167
9C 9D JH,15.5167
9C 9D JS,15.5167
9C 9D QC,15.5167
9C 9D QD,15.5167
9C 9D QH,15.5167
9C 9D QS,15.5167
9C 9D KC,15.5167
9C 9D KD,15.5167
9C 9D KH,15.5167
9C 9D KS,15.5167
9C 9H TD,15.5167
9C 9H TS,15.5167
9C 9H JD,15.5167
9C 9H JS,15.5167
9C 9H QC,15.5167
9C 9H QD,15.5167
9C 9H QH,15.5167
9C 9H QS,15.5167
9C 9H KC,15.5167
9C 9H KD,15.5167
9C 9H KH,15.5167
9C 9H KS,15.5167
9C 9S TD,15.5167
9C 9S TH,15.5167
9C 9S JD,15.5167
9C 9S JH,15.5167
9C 9S QC,15.5167
9C 9S QD,15.5167
9C 9S QH,15.5167
9C 9S QS,15.5167
9C 9S KC,15.5167
9C 9S KD,15.5167
9C 9S KH,15.5167
9C 9S KS,15.5167
9C TC JD,15.3125
9C TC JH,15.3125
9C TC JS,15.3125
9C TC QC,15.3125
9C TC QD,15.3125
9C TC QH,15.3125
9C TC QS,15.3125
9C TC KC,15.3125
9C TC KD,15.3125
9C TC KH,15.3125
9C TC KS,15.3125
9C TD TH,15.5167
9C TD TS,15.5167
9C TD JD,15.3125
9C TH TS,15.5167
9C TH JH,15.3125
9C TS JS,15.3125
9C JC QC,15.0341
9C JD JH,15.5167
9C JD JS,15.5167
9C JD QD,15.1991
9C JH JS,15.5167
9C JH QH,15.1991
9C JS QS,15.1991
9D 9H TC,15.5167
9D 9H TS,15.5167
9D 9H JC,15.5167
9D 9H JS,15.5167
9D 9H QC,15.5167
9D 9H QD,15.5167
9D 9H QH,15.5167
9D 9H QS,15.5167
9D 9H KC,15.5167
9D 9H KD,15.5167
9D 9H KH,15.5167
9D 9H KS,15.5167
9D 9S TC,15.5167
9D 9S TH,15.5167
9D 9S JC,15.5167
9D 9S JH,15.5167
9D 9S QC,15.5167
9D 9S QD,15.5167
9D 9S QH,15.5167
9D 9S QS,15.5167
9D 9S KC,15.5167
9D 9S KD,15.5167
9D 9S KH,15.5167
9D 9S KS,15.5167
9D TC TH,15.5167
9D TC TS,15.5167
9D TC JC,15.3125
9D TD JC,15.3125
9D TD JH,15.3125
9D TD JS,15.3125
9D TD QC,15.3125
9D TD QD,15.3125
9D TD QH,15.3125
9D TD QS,15.3125
9D TD KC,15.3125
9D TD KD,15.3125
9D TD KH,15.3125
9D TD KS,15.3125
9D TH TS,15.5167
9D TH JH,15.3125
9D TS JS,15.3125
9D JC JH,15.5167
9D JC JS,15.5167
9D JC QC,15.1991
9D JD QD,15.0341
9D JH JS,15.5167
9D JH QH,15.1991
9D JS QS,15.1991
9H 9S TC,15.5167
9H 9S TD,15.5167
9H 9S JC,15.5167
9H 9S JD,15.5167
9H 9S QC,15.5167
9H 9S QD,15.5167
9H 9S QH,15.5167
9H 9S QS,15.5167
9H 9S KC,15.5167
9H 9S KD,15.5167
9H 9S KH,15.5167
9H 9S KS,15.5167
9H TC TD,15.5167
9H TC TS,15.5167
9H TC JC,15.3125
9H TD TS,15.5167
9H TD JD,15.3125
9H TH JC,15.3125
9H TH JD,15.3125
9H TH JS,15.3125
9H TH QC,15.3125
9H TH QD,15.3125
9H TH QH,15.3125
9H TH QS,15.3125
9H TH KC,15.3125
9H TH KD,15.3125
9H TH KH,15.3125
9H TH KS,15.3125
9H TS JS,15.3125
9H JC JD,15.5167
9H JC JS,15.5167
9H JC QC,15.1991
9H JD JS,15.5167
9H JD QD,15.1991
9H JH QH,15.0341
9H JS QS,15.1991
9S TC TD,15.5167
9S TC TH,15.5167
9S TC JC,15.3125
9S TD TH,15.5167
9S TD JD,15.3125
9S TH JH,15.3125
9S TS JC,15.3125
9S TS JD,15.3125
9S TS JH,15.3125
9S TS QC,15.3125
9S TS QD,15.3125
9S TS QH,15.3125
9S TS QS,15.3125
9S TS KC,15.3125
9S TS KD,15.3125
9S TS KH,15.3125
9S TS KS,15.3125
9S JC JD,15.5167
9S JC JH,15.5167
9S JC QC,15.1991
9S JD JH,15.5167
9S JD QD,15.1991
9S JH QH,15.1991
9S JS QS,15.0341
TC TD JH,15.5167
TC TD JS,15.5167
TC TD QH,15.5167
TC TD QS,15.5167
TC TD KC,15.5167
TC TD KD,15.5167
TC TD KH,15.5167
TC TD KS,15.5167
TC TH JD,15.5167
TC TH JS,15.5167
TC TH QD,15.5167
TC TH QS,15.5167
TC TH KC,15.5167
TC TH KD,15.5167
TC TH KH,15.5167
TC TH KS,15.5167
TC TS JD,15.5167
TC TS JH,15.5167
TC TS QD,15.5167
TC TS QH,15.5167
TC TS KC,15.5167
TC TS KD,15.5167
TC TS KH,15.5167
TC TS KS,15.5167
TC JC QD,15.3125
TC JC QH,15.3125
TC JC QS,15.3125
TC JC KC,15.3125
TC JC KD,15.3125
TC JC KH,15.3125
TC JC KS,15.3125
TC JD JH,15.5167
TC JD JS,15.5167
TC JD QD,15.3125
TC JH JS,15.5167
TC JH QH,15.3125
TC JS QS,15.3125
TC QC QD,14.8750
TC QC QH,14.8750
TC QC QS,14.8750
TD TH JC,15.5167
TD TH JS,15.5167
TD TH QC,15.5167
TD TH QS,15.5167
TD TH KC,15.5167
TD TH KD,15.5167
TD TH KH,15.5167
TD TH KS,15.5167
TD TS JC,15.5167
TD TS JH,15.5167
TD TS QC,15.5167
TD TS QH,15.5167
TD TS KC,15.5167
TD TS KD,15.5167
TD TS KH,15.5167
TD TS KS,15.5167
TD JC JH,15.5167
TD JC JS,15.5167
TD JC QC,15.3125
TD JD QC,15.3125
TD JD QH,15.3125
TD JD QS,15.3125
TD JD KC,15.3125
TD JD KD,15.3125
TD JD KH,15.3125
TD JD KS,15.3125
TD JH JS,15.5167
TD JH QH,15.3125
TD JS QS,15.3125
TD QC QD,14.8750
TD QD QH,14.8750
TD QD QS,14.8750
TH TS JC,15.5167
TH TS JD,15.5167
TH TS QC,15.5167
TH TS QD,15.5167
TH TS KC,15.5167
TH TS KD,15.5167
TH TS KH,15.5167
TH TS KS,15.5167
TH JC JD,15.5167
TH JC JS,15.5167
TH JC QC,15.3125
TH JD JS,15.5167
TH JD QD,15.3125
TH JH QC,15.3125
TH JH QD,15.3125
TH JH QS,15.3125
TH JH KC,15.3125
TH JH KD,15.3125
TH JH KH,15.3125
TH JH KS,15.3125
TH JS QS,15.3125
TH QC QH,14.8750
TH QD QH,14.8750
TH QH QS,14.8750
TS JC JD,15.5167
TS JC JH,15.5167
TS JC QC,15.3125
TS JD JH,15.5167
TS JD QD,15.3125
TS JH QH,15.3125
TS JS QC,15.3125
TS JS QD,15.3125
TS JS QH,15.3125
TS JS KC,15.3125
TS JS KD,15.3125
TS JS KH,15.3125
TS JS KS,15.3125
TS QC QS,14.8750
TS QD QS,14.8750
TS QH QS,14.8750
JC JD QH,15.5167
JC JD QS,15.5167
JC JD KH,15.5167
JC JD KS,15.5167
JC JH QD,15.5167
JC JH QS,15.5167
JC JH KD,15.5167
JC JH KS,15.5167
JC JS QD,15.5167
JC JS QH,15.5167
JC JS KD,15.5167
JC JS KH,15.5167
JC QC KD,15.3125
JC QC KH,15.3125
JC QC KS,15.3125
JC KC KD,15.3125
JC KC KH,15.3125
JC KC KS,15.3125
JD JH QC,15.5167
JD JH QS,15.5167
JD JH KC,15.5167
JD JH KS,15.5167
JD JS QC,15.5167
JD JS QH,15.5167
JD JS KC,15.5167
JD JS KH,15.5167
JD QD KC,15.3125
JD QD KH,15.3125
JD QD KS,15.3125
JD KC KD,15.3125
JD KD KH,15.3125
JD KD KS,15.3125
JH JS QC,15.5167
JH JS QD,15.5167
JH JS KC,15.5167
JH JS KD,15.5167
JH QH KC,15.3125
JH QH KD,15.3125
JH QH KS,15.3125
JH KC KH,15.3125
JH KD KH,15.3125
JH KH KS,15.3125
JS QS KC,15.3125
JS QS KD,15.3125
JS QS KH,15.3125
JS KC KS,15.3125
JS KD KS,15.3125
JS KH KS,15.3125
QC QD KC,15.3125
QC QD KD,15.3125
QC QH KC,15.3125
QC QH KH,15.3125
QC QS KC,15.3125
QC QS KS,15.3125
QD QH KD,15.3125
QD QH KH,15.3125
QD QS KD,15.3125
QD QS KS,15.3125
QH QS KH,15.3125
QH QS KS,15.3125
AC AD 2C,15.750000000
AC AD 2D,15.7500
AC AH 2C,15.7500
AC AH 2H,15.7500
AC AS 2C,15.7500
AC AS 2S,15.7500
AC 2D 2H,16.7344
AC 2D 2S,16.7344
AC 2H 2S,16.7344
AC 3C 5C,16.3101
AC QC QD,16.7344
AC QC QH,16.7344
AC QC QS,16.7344
AC QD QH,16.7344
AC QD QS,16.7344
AC QH QS,16.7344
AD AH 2D,15.7500
AD AH 2H,15.7500
AD AS 2D,15.7500
AD AS 2S,15.7500
AD 2C 2H,16.7344
AD 2C 2S,16.7344
AD 2H 2S,16.7344
AD 3D 5D,16.3101
AD QC QD,16.7344
AD QC QH,16.7344
AD QC QS,16.7344
AD QD QH,16.7344
AD QD QS,16.7344
AD QH QS,16.7344
AH AS 2H,15.7500
AH AS 2S,15.7500
AH 2C 2D,16.7344
AH 2C 2S,16.7344
AH 2D 2S,16.7344
AH 3H 5H,16.3101
AH QC QD,16.7344
AH QC QH,16.7344
AH QC QS,16.7344
AH QD QH,16.7344
AH QD QS,16.7344
AH QH QS,16.7344
AS 2C 2D,16.7344
AS 2C 2H,16.7344
AS 2D 2H,16.7344
AS 3S 5S,16.3101
AS QC QD,16.7344
AS QC QH,16.7344
AS QC QS,16.7344
AS QD QH,16.7344
AS QD QS,16.7344
AS QH QS,16.7344
2C 2D 3H,16.4704
2C 2D 3S,16.4704
2C 2D 4H,16.2591
2C 2D 4S,16.2591
2C 2D 5C,16.3115
2C 2D 5D,16.3115
2C 2D 5H,16.2346
2C 2D 5S,16.2346
2C 2D 6C,16.2346
2C 2D 6D,16.2346
2C 2D 6H,16.2346
2C 2D 6S,16.2346
2C 2D 7C,16.2346
2C 2D 7D,16.2346
2C 2D 7H,16.2346
2C 2D 7S,16.2346
2C 2D 8C,16.2346
2C 2D 8D,16.2346
2C 2D 8H,16.2346
2C 2D 8S,16.2346
2C 2D 9C,16.2346
2C 2D 9D,16.2346
2C 2D 9H,16.2346
2C 2D 9S,16.2346
2C 2D TC,16.2346
2C 2D TD,16.2346
2C 2D TH,16.2346
2C 2D TS,16.2346
2C 2D JC,16.2346
2C 2D JD,16.2346
2C 2D JH,16.2346
2C 2D JS,16.2346
2C 2D QC,16.5764
2C 2D QD,16.5764
2C 2D QH,16.5764
2C 2D QS,16.5764
2C 2D KC,16.7344
2C 2D KD,16.7344
2C 2D KH,16.7344
2C 2D KS,16.7344
2C 2H 3D,16.4704
2C 2H 3S,16.4704
2C 2H 4D,16.2591
2C 2H 4S,16.2591
2C 2H 5C,16.3115
2C 2H 5D,16.2346
2C 2H 5H,16.3115
2C 2H 5S,16.2346
2C 2H 6C,16.2346
2C 2H 6D,16.2346
2C 2H 6H,16.2346
2C 2H 6S,16.2346
2C 2H 7C,16.2346
2C 2H 7D,16.2346
2C 2H 7H,16.2346
2C 2H 7S,16.2346
2C 2H 8C,16.2346
2C 2H 8D,16.2346
2C 2H 8H,16.2346
2C 2H 8S,16.2346
2C 2H 9C,16.2346
2C 2H 9D,16.2346
2C 2H 9H,16.2346
2C 2H 9S,16.2346
2C 2H TC,16.2346
2C 2H TD,16.2346
2C 2H TH,16.2346
2C 2H TS,16.2346
2C 2H JC,16.2346
2C 2H JD,16.2346
2C 2H JH,16.2346
2C 2H JS,16.2346
2C 2H QC,16.5764
2C 2H QD,16.5764
2C 2H QH,16.5764
2C 2H QS,16.5764
2C 2H KC,16.7344
2C 2H KD,16.7344
2C 2H KH,16.7344
2C 2H KS,16.7344
2C 2S 3D,16.4704
2C 2S 3H,16.4704
2C 2S 4D,16.2591
2C 2S 4H,16.2591
2C 2S 5C,16.3115
2C 2S 5D,16.2346
2C 2S 5H,16.2346
2C 2S 5S,16.3115
2C 2S 6C,16.2346
2C 2S 6D,16.2346
2C 2S 6H,16.2346
2C 2S 6S,16.2346
2C 2S 7C,16.2346
2C 2S 7D,16.2346
2C 2S 7H,16.2346
2C 2S 7S,16.2346
2C 2S 8C,16.2346
2C 2S 8D,16.2346
2C 2S 8H,16.2346
2C 2S 8S,16.2346
2C 2S 9C,16.2346
2C 2S 9D,16.2346
2C 2S 9H,16.2346
2C 2S 9S,16.2346
2C 2S TC,16.2346
2C 2S TD,16.2346
2C 2S TH,16.2346
2C 2S TS,16.2346
2C 2S JC,16.2346
2C 2S JD,16.2346
2C 2S JH,16.2346
2C 2S JS,16.2346
2C 2S QC,16.5764
2C 2S QD,16.5764
2C 2S QH,16.5764
2C 2S QS,16.5764
2C 2S KC,16.7344
2C 2S KD,16.7344
2C 2S KH,16.7344
2C 2S KS,16.7344
2C 4C 6C,16.2008
2C QC QD,16.5764
2C QC QH,16.5764
2C QC QS,16.5764
2C QD QH,16.5764
2C QD QS,16.5764
2C QH QS,16.5764
2D 2H 3C,16.4704
2D 2H 3S,16.4704
2D 2H 4C,16.2591
2D 2H 4S,16.2591
2D 2H 5C,16.2346
2D 2H 5D,16.3115
2D 2H 5H,16.3115
2D 2H 5S,16.2346
2D 2H 6C,16.2346
2D 2H 6D,16.2346
2D 2H 6H,16.2346
2D 2H 6S,16.2346
2D 2H 7C,16.2346
2D 2H 7D,16.2346
2D 2H 7H,16.2346
2D 2H 7S,16.2346
2D 2H 8C,16.2346
2D 2H 8D,16.2346
2D 2H 8H,16.2346
2D 2H 8S,16.2346
2D 2H 9C,16.2346
2D 2H 9D,16.2346
2D 2H 9H,16.2346
2D 2H 9S,16.2346
2D 2H TC,16.2346
2D 2H TD,16.2346
2D 2H TH,16.2346
2D 2H TS,16.2346
2D 2H JC,16.2346
2D 2H JD,16.2346
2D 2H JH,16.2346
2D 2H JS,16.2346
2D 2H QC,16.5764
2D 2H QD,16.5764
2D 2H QH,16.5764
2D 2H QS,16.5764
2D 2H KC,16.7344
2D 2H KD,16.7344
2D 2H KH,16.7344
2D 2H KS,16.7344
2D 2S 3C,16.4704
2D 2S 3H,16.4704
2D 2S 4C,16.2591
2D 2S 4H,16.2591
2D 2S 5C,16.2346
2D 2S 5D,16.3115
2D 2S 5H,16.2346
2D 2S 5S,16.3115
2D 2S 6C,16.2346
2D 2S 6D,16.2346
2D 2S 6H,16.2346
2D 2S 6S,16.2346
2D 2S 7C,16.2346
2D 2S 7D,16.2346
2D 2S 7H,16.2346
2D 2S 7S,16.2346
2D 2S 8C,16.2346
2D 2S 8D,16.2346
2D 2S 8H,16.2346
2D 2S 8S,16.2346
2D 2S 9C,16.2346
2D 2S 9D,16.2346
2D 2S 9H,16.2346
2D 2S 9S,16.2346
2D 2S TC,16.2346
2D 2S TD,16.2346
2D 2S TH,16.2346
2D 2S TS,16.2346
2D 2S JC,16.2346
2D 2S JD,16.2346
2D 2S JH,16.2346
2D 2S JS,16.2346
2D 2S QC,16.5764
2D 2S QD,16.5764
2D 2S QH,16.5764
2D 2S QS,16.5764
2D 2S KC,16.7344
2D 2S KD,16.7344
2D 2S KH,16.7344
2D 2S KS,16.7344
2D 4D 6D,16.2008
2D QC QD,16.5764
2D QC QH,16.5764
2D QC QS,16.5764
2D QD QH,16.5764
2D QD QS,16.5764
2D QH QS,16.5764
2H 2S 3C,16.4704
2H 2S 3D,16.4704
2H 2S 4C,16.2591
2H 2S 4D,16.2591
2H 2S 5C,16.2346
2H 2S 5D,16.2346
2H 2S 5H,16.3115
2H 2S 5S,16.3115
2H 2S 6C,16.2346
2H 2S 6D,16.2346
2H 2S 6H,16.2346
2H 2S 6S,16.2346
2H 2S 7C,16.2346
2H 2S 7D,16.2346
2H 2S 7H,16.2346
2H 2S 7S,16.2346
2H 2S 8C,16.2346
2H 2S 8D,16.2346
2H 2S 8H,16.2346
2H 2S 8S,16.2346
2H 2S 9C,16.2346
2H 2S 9D,16.2346
2H 2S 9H,16.2346
2H 2S 9S,16.2346
2H 2S TC,16.2346
2H 2S TD,16.2346
2H 2S TH,16.2346
2H 2S TS,16.2346
2H 2S JC,16.2346
2H 2S JD,16.2346
2H 2S JH,16.2346
2H 2S JS,16.2346
2H 2S QC,16.5764
2H 2S QD,16.5764
2H 2S QH,16.5764
2H 2S QS,16.5764
2H 2S KC,16.7344
2H 2S KD,16.7344
2H 2S KH,16.7344
2H 2S KS,16.7344
2H 4H 6H,16.2008
2H QC QD,16.5764
2H QC QH,16.5764
2H QC QS,16.5764
2H QD QH,16.5764
2H QD QS,16.5764
2H QH QS,16.5764
2S 4S 6S,16.2008
2S QC QD,16.5764
2S QC QH,16.5764
2S QC QS,16.5764
2S QD QH,16.5764
2S QD QS,16.5764
2S QH QS,16.5764
3C 5C 7C,15.9764
3C QC QD,16.2346
3C QC QH,16.2346
3C QC QS,16.2346
3C QD QH,16.2346
3C QD QS,16.2346
3C QH QS,16.2346
3D 5D 7D,15.9764
3D QC QD,16.2346
3D QC QH,16.2346
3D QC QS,16.2346
3D QD QH,16.2346
3D QD QS,16.2346
3D QH QS,16.2346
3H 5H 7H,15.9764
3H QC QD,16.2346
3H QC QH,16.2346
3H QC QS,16.2346
3H QD QH,16.2346
3H QD QS,16.2346
3H QH QS,16.2346
3S 5S 7S,15.9764
3S QC QD,16.2346
3S QC QH,16.2346
3S QC QS,16.2346
3S QD QH,16.2346
3S QD QS,16.2346
3S QH QS,16.2346
4C 6C 8C,15.9764
4C QC QD,16.2346
4C QC QH,16.2346
4C QC QS,16.2346
4C QD QH,16.2346
4C QD QS,16.2346
4C QH QS,16.2346
4D 6D 8D,15.9764
4D QC QD,16.2346
4D QC QH,16.2346
4D QC QS,16.2346
4D QD QH,16.2346
4D QD QS,16.2346
4D QH QS,16.2346
4H 6H 8H,15.9764
4H QC QD,16.2346
4H QC QH,16.2346
4H QC QS,16.2346
4H QD QH,16.2346
4H QD QS,16.2346
4H QH QS,16.2346
4S 6S 8S,15.9764
4S QC QD,16.2346
4S QC QH,16.2346
4S QC QS,16.2346
4S QD QH,16.2346
4S QD QS,16.2346
4S QH QS,16.2346
5C 7C 9C,15.9764
5C QC QD,16.2346
5C QC QH,16.2346
5C QC QS,16.2346
5C QD QH,16.2346
5C QD QS,16.2346
5C QH QS,16.2346
5D 7D 9D,15.9764
5D QC QD,16.2346
5D QC QH,16.2346
5D QC QS,16.2346
5D QD QH,16.2346
5D QD QS,16.2346
5D QH QS,16.2346
5H 7H 9H,15.9764
5H QC QD,16.2346
5H QC QH,16.2346
5H QC QS,16.2346
5H QD QH,16.2346
5H QD QS,16.2346
5H QH QS,16.2346
5S 7S 9S,15.9764
5S QC QD,16.2346
5S QC QH,16.2346
5S QC QS,16.2346
5S QD QH,16.2346
5S QD QS,16.2346
5S QH QS,16.2346
6C 8C TC,15.9764
6C QC QD,16.2346
6C QC QH,16.2346
6C QC QS,16.2346
6C QD QH,16.2346
6C QD QS,16.2346
6C QH QS,16.2346
6D 8D TD,15.9764
6D QC QD,16.2346
6D QC QH,16.2346
6D QC QS,16.2346
6D QD QH,16.2346
6D QD QS,16.2346
6D QH QS,16.2346
6H 8H TH,15.9764
6H QC QD,16.2346
6H QC QH,16.2346
6H QC QS,16.2346
6H QD QH,16.2346
6H QD QS,16.2346
6H QH QS,16.2346
6S 8S TS,15.9764
6S QC QD,16.2346
6S QC QH,16.2346
6S QC QS,16.2346
6S QD QH,16.2346
6S QD QS,16.2346
6S QH QS,16.2346
7C 9C JC,15.9764
7C QC QD,16.2346
7C QC QH,16.2346
7C QC QS,16.2346
7C QD QH,16.2346
7C QD QS,16.2346
7C QH QS,16.2346
7D 9D JD,15.9764
7D QC QD,16.2346
7D QC QH,16.2346
7D QC QS,16.2346
7D QD QH,16.2346
7D QD QS,16.2346
7D QH QS,16.2346
7H 9H JH,15.9764
7H QC QD,16.2346
7H QC QH,16.2346
7H QC QS,16.2346
7H QD QH,16.2346
7H QD QS,16.2346
7H QH QS,16.2346
7S 9S JS,15.9764
7S QC QD,16.2346
7S QC QH,16.2346
7S QC QS,16.2346
7S QD QH,16.2346
7S QD QS,16.2346
7S QH QS,16.2346
8C TC QC,16.2008
8C QC QD,16.2346
8C QC QH,16.2346
8C QC QS,16.2346
8C QD QH,16.2346
8C QD QS,16.2346
8C QH QS,16.2346
8D TD QD,16.2008
8D QC QD,16.2346
8D QC QH,16.2346
8D QC QS,16.2346
8D QD QH,16.2346
8D QD QS,16.2346
8D QH QS,16.2346
8H TH QH,16.2008
8H QC QD,16.2346
8H QC QH,16.2346
8H QC QS,16.2346
8H QD QH,16.2346
8H QD QS,16.2346
8H QH QS,16.2346
8S TS QS,16.2008
8S QC QD,16.2346
8S QC QH,16.2346
8S QC QS,16.2346
8S QD QH,16.2346
8S QD QS,16.2346
8S QH QS,16.2346
9C JC KC,16.3101
9C QC QD,16.3115
9C QC QH,16.3115
9C QC QS,16.3115
9C QD QH,16.2346
9C QD QS,16.2346
9C QH QS,16.2346
9D JD KD,16.3101
9D QC QD,16.3115
9D QC QH,16.2346
9D QC QS,16.2346
9D QD QH,16.3115
9D QD QS,16.3115
9D QH QS,16.2346
9H JH KH,16.3101
9H QC QD,16.2346
9H QC QH,16.3115
9H QC QS,16.2346
9H QD QH,16.3115
9H QD QS,16.2346
9H QH QS,16.3115
9S JS KS,16.3101
9S QC QD,16.2346
9S QC QH,16.2346
9S QC QS,16.3115
9S QD QH,16.2346
9S QD QS,16.3115
9S QH QS,16.3115
TC QD QH,16.2591
TC QD QS,16.2591
TC QH QS,16.2591
TD QC QH,16.2591
TD QC QS,16.2591
TD QH QS,16.2591
TH QC QD,16.2591
TH QC QS,16.2591
TH QD QS,16.2591
TS QC QD,16.2591
TS QC QH,16.2591
TS QD QH,16.2591
JC QD QH,16.4704
JC QD QS,16.4704
JC QH QS,16.4704
JD QC QH,16.4704
JD QC QS,16.4704
JD QH QS,16.4704
JH QC QD,16.4704
JH QC QS,16.4704
JH QD QS,16.4704
JS QC QD,16.4704
JS QC QH,16.4704
JS QD QH,16.4704
QC QD KH,16.7344
QC QD KS,16.7344
QC QH KD,16.7344
QC QH KS,16.7344
QC QS KD,16.7344
QC QS KH,16.7344
QC KC KD,15.7500
QC KC KH,15.7500
QC KC KS,15.7500
QD QH KC,16.7344
QD QH KS,16.7344
QD QS KC,16.7344
QD QS KH,16.7344
QD KC KD,15.7500
QD KD KH,15.7500
QD KD KS,15.7500
QH QS KC,16.7344
QH QS KD,16.7344
QH KC KH,15.7500
QH KD KH,15.7500
QH KH KS,15.7500
QS KC KS,15.7500
QS KD KS,15.7500
QS KH KS,15.7500
AC AD 2H,17.787109375
AC AD 2S,17.7871
AC AD 3H,17.2472
AC AD 3S,17.2472
AC AD 4C,17.2988
AC AD 4D,17.2988
AC AD 4H,17.1182
AC AD 4S,17.1182
AC AD 5C,17.1182
AC AD 5D,17.1182
AC AD 5H,17.1182
